"Index","Feature_name","Coefficient"
"69","poly(N_15_average_incumbent_value, 2, raw = TRUE)[, 2]","0.00422237172370643"
"241","N_9_solution_value:K_49_active_coef_weight1_count","0.0154473627847629"
"381","N_20_solution_infeasibility:N_21_edge_mean","-0.0132186096608374"
"395","N_20_solution_infeasibility:K_1_obj_coef","0.0203269709791839"
"401","N_20_solution_infeasibility:K_14_rows_neg_coefs_count","0.0176512281923177"
"744","N_26_bias_max:K_18_rows_neg_coefs_max","0.00486277007463694"
"989","N_33_dual_solution_mean:K_1_obj_coef","0.00653886111801377"
"1196","K_1_obj_coef:K_34_rows_dynamic_deg_mean_ratio","0.0036882729818015"
"1767","K_25_pseudocost_product:K_60_active_coef_weight2_max","0.00795085887304703"
